AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC5m,ATSC6m,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,Atomic_Number,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,MPC,Boiling Point (°C),Target
5.296296296,-7.893491124,-10.73372781,8.544378698,-12.76078418,-58.33805251,0.007144379,6.865841642,-0.598478445,-0.780407627,25.0,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.32,65.0,0.19682
3.374485597,1.0,-45.5,4.75,-50.24567372,530.5430741,-1.999238776,-13.72631812,-1.116666667,0.305555556,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.41736
3.049095607,-13.11111111,-36.33333333,5.0,16.02032455,305.4643367,-0.875777778,-3.720835241,-0.789598109,0.413436693,27.0,192.0,7.5,64.0,7.881,8.86,32.04,32.7,0.32,65.0,0.4377
3.049095607,-13.11111111,-36.33333333,5.0,16.02032455,305.4643367,-0.875777778,-3.720835241,-0.789598109,0.413436693,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.4412
3.049095607,-13.11111111,-36.33333333,5.0,16.02032455,305.4643367,-0.875777778,-3.720835241,-0.789598109,0.413436693,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.4421
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,64.0,237.0,23.5,13.0,6.15,7.9,73.09,36.7,0.37,153.0,0.38574
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,31.0,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.19,115.0,0.39396
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,31.0,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.19,115.0,0.47158
6.089439787,1.0,-48.0,0.0,0.0,0.0,0.47401875,1.412091599,4.0,0.983015531,12.0,173.0,10.6,-40.0,7.646,1.74,87.12,37.8,0.25,166.0,0.4767
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,66.0,229.0,24.5,34.0,5.939,8.55,73.09,36.7,0.37,153.0,0.2216
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,66.0,229.0,24.5,34.0,5.939,8.55,73.09,36.7,0.37,153.0,0.22556
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,66.0,229.0,24.5,34.0,5.939,8.55,41.05,37.5,0.26,81.6,0.18086
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.46104
6.089439787,1.0,-48.0,0.0,0.0,0.0,0.47401875,1.412091599,4.0,0.983015531,25.0,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,0.37,153.0,0.29844
4.387152778,3.511966701,-55.38189386,-75.10093652,472.9017234,151.7267787,-3.170322477,-17.78670351,-0.692790248,0.916915973,27.0,192.0,7.5,64.0,7.881,8.86,87.12,37.8,0.25,166.0,0.17846
4.387152778,3.511966701,-55.38189386,-75.10093652,472.9017234,151.7267787,-3.170322477,-17.78670351,-0.692790248,0.916915973,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.18984
4.387152778,3.511966701,-55.38189386,-75.10093652,472.9017234,151.7267787,-3.170322477,-17.78670351,-0.692790248,0.916915973,28.0,163.0,6.8,112.0,7.64,8.912,73.09,36.7,0.37,153.0,0.18892
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,64.0,237.0,23.5,13.0,6.15,7.9,73.09,36.7,0.37,153.0,0.3833
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,64.0,237.0,23.5,13.0,6.15,7.9,46.07,24.3,0.3,78.37,0.24066
6.939393939,5.326530612,-48.48979592,-59.26530612,539.7217501,-54.9712958,-4.208271429,-17.17443023,-0.918367347,1.734693878,64.0,237.0,23.5,13.0,6.15,7.9,46.07,24.3,0.3,78.37,0.23962
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,29.0,140.0,6.7,119.0,7.726,8.933,46.07,24.3,0.3,78.37,0.30006
6.089439787,-8.64,-1.12,0.0,0.0,0.0,0.0,0.431820984,-0.924871318,0.983015531,27.0,192.0,7.5,64.0,7.881,8.86,58.08,20.7,0.17,56.05,0.2683
6.089439787,-8.64,-1.12,0.0,0.0,0.0,0.0,0.431820984,-0.924871318,0.983015531,27.0,192.0,7.5,64.0,7.881,8.86,41.05,37.5,0.26,81.6,0.23174
6.089439787,-8.64,-1.12,0.0,0.0,0.0,0.0,0.431820984,-0.924871318,0.983015531,27.0,192.0,7.5,64.0,7.881,8.86,72.1,7.58,0.22,66.0,0.26354
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,63.0,233.0,27.7,83.0,5.67,5.24,73.09,36.7,0.37,153.0,0.07974
